id,name,area,type,published_at,created_at,archived,url,alternate_url,employer,from,to,currency,gross,requirement,responsibility
69045365,"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",Алматы,Открытая,2022-09-21T15:53:37+0300,2022-09-21T15:53:37+0300,False,https://api.hh.ru/vacancies/69045365?host=hh.ru,https://hh.ru/vacancy/69045365,DataArt,,,,,"Experience with AWS services (EC2, VPC, CloudWatch, CloudFront, Lambda). Experience in <highlighttext>Python</highlighttext> scripting for automation and administration tools. ",Experience with container networking on Docker. Experience with application deployment by using CI/CD.
69045366,"DevOps Engineer (AWS, Kubernetes, Financial Analytics System)",Астана,Открытая,2022-09-21T15:53:37+0300,2022-09-21T15:53:37+0300,False,https://api.hh.ru/vacancies/69045366?host=hh.ru,https://hh.ru/vacancy/69045366,DataArt,,,,,"Experience with AWS services (EC2, VPC, CloudWatch, CloudFront, Lambda). Experience in <highlighttext>Python</highlighttext> scripting for automation and administration tools. ",Experience with container networking on Docker. Experience with application deployment by using CI/CD.
69354887,Data Engineer (Frontend),Москва,Открытая,2022-09-21T11:44:25+0300,2022-09-21T11:44:25+0300,False,https://api.hh.ru/vacancies/69354887?host=hh.ru,https://hh.ru/vacancy/69354887,Цифромед,,,,,"Опыт проектной деятельности по Agile (SCRUM, Kanban). Стек технологий: JS, SQL, <highlighttext>Python</highlighttext>, nosql, Postgre, приветствуется знание оркестровки ETL Airflow/NiFi...",Проектирование и разработка BI и визуализации данных. Всесторонняя поддержка бизнеса со стороны данных. Ведение ETL процессов в средних и верхних...
70150685,Программист 1С,Санкт-Петербург,Открытая,2022-09-22T12:12:12+0300,2022-09-22T12:12:12+0300,False,https://api.hh.ru/vacancies/70150685?host=hh.ru,https://hh.ru/vacancy/70150685,OCS Distribution,,,,,Опыт работы с клиент-серверными системами 1С. Знание стандартов разработки 1С. Технический английский - чтение мануалов и форумов.,"Стэк: .NET, C#, Java, PHP, React Native, ReactJS, JS, <highlighttext>Python</highlighttext>, SQL. Бизнес-аналитика: управление данными (развитие аналитического хранилища, управление метаданными..."
69045527,"DevOps with GCP, Telemedicine Technology Solutions",Астана,Открытая,2022-09-21T15:53:52+0300,2022-09-21T15:53:52+0300,False,https://api.hh.ru/vacancies/69045527?host=hh.ru,https://hh.ru/vacancy/69045527,DataArt,,,,,Experience with SQL Databases/DWH/Data Lakes (BigQuery is a perfect match). Comfortable with <highlighttext>Python</highlighttext>. Hands-on experience with configuration...,TEAM. TECHNOLOGY STACK.
69045526,"DevOps with GCP, Telemedicine Technology Solutions",Алматы,Открытая,2022-09-21T15:53:50+0300,2022-09-21T15:53:50+0300,False,https://api.hh.ru/vacancies/69045526?host=hh.ru,https://hh.ru/vacancy/69045526,DataArt,,,,,Experience with SQL Databases/DWH/Data Lakes (BigQuery is a perfect match). Comfortable with <highlighttext>Python</highlighttext>. Hands-on experience with configuration...,TEAM. TECHNOLOGY STACK.
69009231,Senior C++ Developer (Gameplay),Казань,Открытая,2022-09-21T06:44:06+0300,2022-09-21T06:44:06+0300,False,https://api.hh.ru/vacancies/69009231?host=hh.ru,https://hh.ru/vacancy/69009231,Playrix,,,,,"Опыт разработки под мобильные платформы (iOS, Android). Опыт работы с компьютерной графикой. Знание <highlighttext>Python</highlighttext>, Lua или других скриптовых языков.",Программирование игровых механик и логики. Проектирование и ревью архитектуры фич. Программирование UI и визуальных эффектов. Профилирование и оптимизация игры по...
69009186,Senior C++ Developer (Gameplay),Новосибирск,Открытая,2022-09-21T06:44:06+0300,2022-09-21T06:44:06+0300,False,https://api.hh.ru/vacancies/69009186?host=hh.ru,https://hh.ru/vacancy/69009186,Playrix,,,,,"Опыт разработки под мобильные платформы (iOS, Android). Опыт работы с компьютерной графикой. Знание <highlighttext>Python</highlighttext>, Lua или других скриптовых языков.",Программирование игровых механик и логики. Проектирование и ревью архитектуры фич. Программирование UI и визуальных эффектов. Профилирование и оптимизация игры по...
69009137,Senior C++ Developer (Gameplay),Екатеринбург,Открытая,2022-09-21T06:44:06+0300,2022-09-21T06:44:06+0300,False,https://api.hh.ru/vacancies/69009137?host=hh.ru,https://hh.ru/vacancy/69009137,Playrix,,,,,"Опыт разработки под мобильные платформы (iOS, Android). Опыт работы с компьютерной графикой. Знание <highlighttext>Python</highlighttext>, Lua или других скриптовых языков.",Программирование игровых механик и логики. Проектирование и ревью архитектуры фич. Программирование UI и визуальных эффектов. Профилирование и оптимизация игры по...
69009333,Programming Team Lead (С++),Волгоград,Открытая,2022-09-21T06:44:06+0300,2022-09-21T06:44:06+0300,False,https://api.hh.ru/vacancies/69009333?host=hh.ru,https://hh.ru/vacancy/69009333,Playrix,,,,,"Занимались разработкой игровых проектов, выпущенных в production. Имеете не менее 3 лет опыта разработки коммерческих проектов на С++. ","Менеджмент команды С++ программистов (организация, координация, обучение, развитие, оценка результатов работы). Участие в найме и адаптации новых сотрудников. "
69009339,Programming Team Lead (С++),Пермь,Открытая,2022-09-21T06:44:06+0300,2022-09-21T06:44:06+0300,False,https://api.hh.ru/vacancies/69009339?host=hh.ru,https://hh.ru/vacancy/69009339,Playrix,,,,,"Занимались разработкой игровых проектов, выпущенных в production. Имеете не менее 3 лет опыта разработки коммерческих проектов на С++. ","Менеджмент команды С++ программистов (организация, координация, обучение, развитие, оценка результатов работы). Участие в найме и адаптации новых сотрудников. "
69135132,DevOps/SRE Engineer (Remote),Санкт-Петербург,Открытая,2022-09-20T10:53:56+0300,2022-09-20T10:53:56+0300,False,https://api.hh.ru/vacancies/69135132?host=hh.ru,https://hh.ru/vacancy/69135132,JetLend,,150000.0,RUR,False,"Умение писать скрипты на Bash и программировать на <highlighttext>Python</highlighttext>. Знание Ansible, следование принципу IaaC при разработке новых решений.","Основной стек: Linux, Nginx, <highlighttext>Python</highlighttext> 3.8 + Django, MySQL. CI/CD на базе GitLab. ELK для логов, Prometheus/Grafana..."
68503622,С++ Developer по развитию продукта,Москва,Открытая,2022-09-20T12:00:19+0300,2022-09-20T12:00:19+0300,False,https://api.hh.ru/vacancies/68503622?host=hh.ru,https://hh.ru/vacancy/68503622,DSSL,,,,,Linux на уровне продвинутого пользователя. Знание особенностей многопоточного программирования . Опыт автоматического тестирования и написания юнит-тестов. Знание <highlighttext>Python</highlighttext>.,Адаптивные пользовательские интерфейсы для разных нужд. Видеоаналитические модули. Интеграция с пользовательскими скриптами.
69158187,С++ Developer по развитию продукта,Санкт-Петербург,Открытая,2022-09-20T12:00:11+0300,2022-09-20T12:00:11+0300,False,https://api.hh.ru/vacancies/69158187?host=hh.ru,https://hh.ru/vacancy/69158187,DSSL,,,,,Linux на уровне продвинутого пользователя. Знание особенностей многопоточного программирования . Опыт автоматического тестирования и написания юнит-тестов. Знание <highlighttext>Python</highlighttext>.,Адаптивные пользовательские интерфейсы для разных нужд. Видеоаналитические модули. Интеграция с пользовательскими скриптами.
69158186,С++ Developer по развитию продукта,Нижний Новгород,Открытая,2022-09-20T12:00:04+0300,2022-09-20T12:00:04+0300,False,https://api.hh.ru/vacancies/69158186?host=hh.ru,https://hh.ru/vacancy/69158186,DSSL,,,,,Linux на уровне продвинутого пользователя. Знание особенностей многопоточного программирования . Опыт автоматического тестирования и написания юнит-тестов. Знание <highlighttext>Python</highlighttext>.,Адаптивные пользовательские интерфейсы для разных нужд. Видеоаналитические модули. Интеграция с пользовательскими скриптами.
70024597,Middle/senior Golang Developer (Kubernetes),Москва,Открытая,2022-09-20T12:35:52+0300,2022-09-20T12:35:52+0300,False,https://api.hh.ru/vacancies/70024597?host=hh.ru,https://hh.ru/vacancy/70024597,МТС,,,,,"...технологиями контейнеризации в Linux (Docker, containerd и др.). Знаете Golang и другие языки программирования (<highlighttext>Python</highlighttext>, C++, Rust). Обслуживали большие сервисы.",Развитие платформы для управления managed-кластерами Kubernetes. Интеграции ресурсов облака с Kubernetes. RnD новых технологий и инструментов. Разработка архитектуры сервисов. 
